18.931,1.8214,0.711371,0.72895,0.87897,0.916262,0.792058,0.577447,0.368277,0.214792,0.119138,0.0644512,0.0344691,0.0183815,0.00988378,0.00551507,0.00346388,0.00287279,0.00349504,0.00559626,0.0100727,0.0188487,0.0357612,0.0684597,0.13274,0.263714,0.550365,1.2745,3.76152,24.4769,24.0448,
18.931,1.8214,0.711371,0.72895,0.87897,0.916262,0.792058,0.577447,0.368277,0.214792,0.119138,0.0644512,0.0344691,0.0183815,0.00988378,0.00551507,0.00346388,0.00287279,0.00349504,0.00559626,0.0100727,0.0188487,0.0357612,0.0684597,0.13274,0.263714,0.550365,1.2745,3.76152,24.4769,24.0448,
5.724,1.5616,1.28389,1.63191,1.88397,1.78108,1.38715,0.922634,0.550474,0.308695,0.167856,0.0899487,0.0479278,0.0255985,0.0139367,0.00812365,0.00573196,0.0057593,0.00822095,0.0141642,0.0261268,0.0492681,0.0937766,0.180062,0.350899,0.703956,1.49751,3.60048,11.4456,17.4621,9.71695,
2.14362,1.57,2.12523,2.7945,2.94614,2.46986,1.70924,1.03557,0.583255,0.317596,0.17024,0.0906348,0.048226,0.0259027,0.0144455,0.00907022,0.00752105,0.00914843,0.0146442,0.0263437,0.0492422,0.0932207,0.177665,0.341384,0.665759,1.33599,2.82917,6.53671,11.0073,10.3195,4.50358,
1.28887,2.14566,3.43946,4.22267,3.89683,2.81438,1.7128,0.956382,0.517467,0.276366,0.146789,0.0778741,0.0415037,0.0225721,0.0131499,0.00927559,0.00931762,0.0132961,0.0228958,0.0421881,0.0793859,0.150452,0.286369,0.548206,1.05997,2.08251,4.1362,6.96454,8.15699,5.94179,2.35557,
1.44185,3.44555,5.39256,5.75747,4.41388,2.66454,1.44185,0.76485,0.404169,0.21346,0.11282,0.0598157,0.0320708,0.0178694,0.0112148,0.00929652,0.0113047,0.0180872,0.0325084,0.0606582,0.114423,0.2165,0.409929,0.775752,1.4624,2.70249,4.47644,5.8377,5.46347,3.48066,1.43804,
2.33286,5.86421,8.04389,6.86647,4.07781,2.05316,1.04506,0.540496,0.282345,0.148341,0.0782771,0.0416084,0.0225992,0.0131569,0.00927694,0.00931624,0.0132891,0.0228683,0.0420819,0.078977,0.148877,0.280302,0.524837,0.969992,1.73712,2.85411,3.95091,4.27834,3.47676,2.14852,1.24806,
4.44405,10.1747,10.8508,6.44372,2.78912,1.31714,0.656384,0.336582,0.175169,0.0919145,0.0485582,0.0259889,0.0144678,0.00907564,0.00752103,0.00914292,0.0146216,0.0262562,0.048905,0.0919221,0.172663,0.322118,0.59155,1.05026,1.73334,2.50415,2.98536,2.82684,2.13607,1.5393,2.01491,
9.57911,17.2116,11.2814,3.54922,1.47631,0.694025,0.345958,0.17753,0.0924602,0.0485799,0.0257677,0.0139806,0.00813485,0.00573414,0.00575706,0.00820957,0.0141196,0.025955,0.0486065,0.091228,0.170245,0.313086,0.558286,0.935657,1.40648,1.80512,1.90708,1.64518,1.27382,1.48681,5.32475,
23.6977,24.1232,3.70764,1.25638,0.542583,0.259996,0.130872,0.0674976,0.03526,0.0185869,0.00993707,0.00552885,0.00346722,0.00287278,0.00349163,0.00558228,0.0100186,0.0186404,0.0349586,0.0653683,0.120833,0.217843,0.373486,0.585535,0.8029,0.928049,0.888065,0.729751,0.690159,1.70289,17.5812,
23.6977,24.1232,3.70764,1.25638,0.542583,0.259996,0.130872,0.0674976,0.03526,0.0185869,0.00993707,0.00552885,0.00346722,0.00287278,0.00349163,0.00558228,0.0100186,0.0186404,0.0349586,0.0653683,0.120833,0.217843,0.373486,0.585535,0.8029,0.928049,0.888065,0.729751,0.690159,1.70289,17.5812,
